Quantidade_Resultados,Combinacao_Utilizada,IDs_Encontrados
0,"(""Neoplasms""[MeSH Terms]) AND (""Brazil""[All Fields]) AND (""Homo sapiens""[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND (""Brazil""[All Fields]) AND (txid9606[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""INCA"" OR ""Instituto Nacional de Cancer"")) AND (""Homo sapiens""[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""INCA"" OR ""Instituto Nacional de Cancer"")) AND (txid9606[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""A.C.Camargo Cancer Center"" OR ""Fundacao Antonio Prudente"")) AND (""Homo sapiens""[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""A.C.Camargo Cancer Center"" OR ""Fundacao Antonio Prudente"")) AND (txid9606[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Hospital de Cancer de Barretos"" OR ""Hospital de Amor"")) AND (""Homo sapiens""[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Hospital de Cancer de Barretos"" OR ""Hospital de Amor"")) AND (txid9606[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Hospital Sirio-Libanes"")) AND (""Homo sapiens""[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Hospital Sirio-Libanes"")) AND (txid9606[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Hospital Israelita Albert Einstein"")) AND (""Homo sapiens""[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Hospital Israelita Albert Einstein"")) AND (txid9606[Organism]))",
3,"(""Neoplasms""[MeSH Terms]) AND ((""Universidade de Sao Paulo"" OR ""USP"")) AND (""Homo sapiens""[Organism]))",10280212;10280211;10280210
3,"(""Neoplasms""[MeSH Terms]) AND ((""Universidade de Sao Paulo"" OR ""USP"")) AND (txid9606[Organism]))",10280212;10280211;10280210
0,"(""Neoplasms""[MeSH Terms]) AND ((""Universidade Estadual de Campinas"" OR ""UNICAMP"")) AND (""Homo sapiens""[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Universidade Estadual de Campinas"" OR ""UNICAMP"")) AND (txid9606[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Universidade Federal do Rio de Janeiro"" OR ""UFRJ"")) AND (""Homo sapiens""[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Universidade Federal do Rio de Janeiro"" OR ""UFRJ"")) AND (txid9606[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Universidade Federal de Minas Gerais"" OR ""UFMG"")) AND (""Homo sapiens""[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Universidade Federal de Minas Gerais"" OR ""UFMG"")) AND (txid9606[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Fiocruz"" OR ""Fundacao Oswaldo Cruz"")) AND (""Homo sapiens""[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND ((""Fiocruz"" OR ""Fundacao Oswaldo Cruz"")) AND (txid9606[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND (""FAPESP"") AND (""Homo sapiens""[Organism]))",
0,"(""Neoplasms""[MeSH Terms]) AND (""FAPESP"") AND (txid9606[Organism]))",
